idCourse,courseTitle,idLocation
284813,K Music,1828
285125,K Spanish,1828
285128,1 Music,1828
285129,5 Art,1828
285132,5 Music,1828
285142,6 Music,1828
285143,6 Art,1828
285144,Art,1828
285146,8 Art,1828
285148,1 Spanish,1828
285150,2 Spanish,1828
285152,5 Homeroom,1828
285154,6 Homeroom,1828
285156,5 Bible,1828
285158,5 History/Geography,1828
285166,5 Science,1828
285169,6 Bible,1828
285170,6 History/Geography,1828
285171,6 Science,1828
285197,Physical Science,1828
285199,Pre-Algebra,1828
285314,6 Math,1828
285315,5 Math,1828
285717,7 TX History,1828
285718,World Geography,1828
286458,English 12,1827
287227,4-Math ASC,1825
287480,5 Latin,1828
287532,6 Latin,1828
287634,2-Math ASC,1825
287657,4-Reading ASC,1825
287683,5 Testing Center,1826
288043,4-Spelling ASC,1825
288951,3-Spelling ASC,1825
288952,3-Reading ASC,1825
289239,2-Spelling ASC,1825
292278,Inspire,1827
292424,College & Career,1827
296674,Human Geography AP®,1827
296675,World History AP®,1827
302916,8 Math,1826
305842,Academic Coaching,1826
307272,Library 5,1826
307273,Library 6,1826
307731,7 Math,1828
307956,7 Humanities,1828
307958,8 Humanities,1828
307963,7 HR/Logic,1828
307964,8 HR/Logic,1828
308196,ASP,1825
308481,K-Phonics ASC,1825
308482,K-Math ASC,1825
311092,Library,1828
311187,1-Reading ASC,1825
313938,Pre-Calculus DC,1827
313940,Pre-Calculus,1827
313941,Computer Science I,1827
313942,Comparative Religions,1827
313953,Entrepreneurship Foundations,1827
313954,IPC Intervention,1827
320996,7 Wellness,1826
320997,STEM,1826
321871,Anatomy/Physiology DC,1827
323827,US History M,1827
323828,Engineering Science Intervention,1827
323829,Government Intervention,1827
323830,English 12 Intervention,1827
323834,English 11 Intervention,1827
323835,English 9 Intervention,1827
323836,Geometry M,1827
324008,1-Spelling,1825
324658,Advisory,1828
325436,1-Spelling ASC,1825
330336,History of World Religions,1827
